right ear latitude,right ear longitude,right ear accuracy score,right hip latitude,right hip longitude,right hip accuracy score,right eye latitude,right eye longitude,right eye accuracy score,left hip latitude,left hip longitude,left hip accuracy score,left wrist latitude,left wrist longitude,left wrist accuracy score,right knee latitude,right knee longitude,right knee accuracy score,nose latitude,nose longitude,nose accuracy score,left eye latitude,left eye longitude,left eye accuracy score,left ankle latitude,left ankle longitude,left ankle accuracy score,right elbow latitude,right elbow longitude,right elbow accuracy score,left knee latitude,left knee longitude,left knee accuracy score,right wrist latitude,right wrist longitude,right wrist accuracy score,right ankle latitude,right ankle longitude,right ankle accuracy score,right shoulder latitude,right shoulder longitude,right shoulder accuracy score,left shoulder latitude,left shoulder longitude,left shoulder accuracy score,left elbow latitude,left elbow longitude,left elbow accuracy score,left ear latitude,left ear longitude,left ear accuracy score
170.91104,319.46716,0.9833022952079773,343.7293,309.97583,0.8503870964050293,166.2745,334.90195,0.9974687099456787,344.20325,373.97852,0.8534073829650879,136.75046,454.99213,0.5198032259941101,468.66174,305.80527,0.4139482080936432,175.44656,343.79797,0.9974687099456787,168.54628,352.59427,0.9974687099456787,480.0,384.66397,0.23783910274505615,188.65128,251.001,0.5343587398529053,462.3494,377.68384,0.5252026319503784,120.07298,238.42639,0.43605518341064453,480.0,305.45416,0.10739459097385406,214.96198,300.15704,0.9854212403297424,218.29707,383.1732,0.8921365141868591,195.78093,442.12543,0.845740020275116,173.56471,362.3224,0.9099338054656982
169.86346,320.73657,0.9801714420318604,344.2399,310.69138,0.8188520073890686,164.39215,336.39215,0.9974687099456787,345.10373,375.77924,0.8571786880493164,137.4719,459.05258,0.6103726029396057,470.2229,306.0138,0.3924092650413513,173.66829,343.58698,0.9974687099456787,167.4086,353.64865,0.9974687099456787,480.0,384.3332,0.2163190245628357,188.58116,252.04404,0.5065542459487915,464.8235,378.72144,0.5031057596206665,119.47177,237.48671,0.40780022740364075,480.0,305.49933,0.07493757456541061,214.98088,301.7557,0.9855087399482727,217.65508,386.50232,0.8851924538612366,196.568,443.711,0.8534092307090759,174.1111,363.63135,0.9387204647064209
169.8436,321.3148,0.9728436470031738,344.18558,309.70435,0.8134002089500427,164.0,336.39215,0.9973801970481873,345.13696,376.9177,0.8489818572998047,137.20386,459.84134,0.6198868751525879,469.94818,305.8427,0.3738628029823303,172.94365,343.77338,0.9974687099456787,166.76451,353.85043,0.9974687099456787,480.0,384.65292,0.29125288128852844,190.34856,251.97472,0.5627317428588867,463.07404,377.671,0.513917863368988,119.88724,237.27994,0.3960237205028534,480.0,305.10605,0.07614926248788834,214.74002,301.4016,0.9840749502182007,217.34526,387.2048,0.8921038508415222,195.0368,444.00037,0.8432290554046631,173.17706,364.12323,0.9411423802375793
169.68886,320.48056,0.9784265160560608,344.47455,310.98834,0.8108294010162354,164.39215,336.0,0.9974687099456787,345.26053,377.05734,0.8433530330657959,137.11615,458.5454,0.5725629925727844,468.39365,306.14877,0.35680127143859863,173.31541,343.5479,0.9974687099456787,167.22035,353.43924,0.9974687099456787,480.0,383.49493,0.2805665135383606,189.60648,251.37976,0.5875003933906555,464.52832,378.8437,0.5048508048057556,121.78437,236.77794,0.4918602705001831,480.0,305.547,0.08780594915151596,214.38371,300.83676,0.9868029952049255,217.03072,387.1913,0.8750122785568237,194.92365,443.4864,0.8687022924423218,174.00424,363.59332,0.9371935725212097
170.26588,320.17923,0.9709043502807617,344.7903,310.7293,0.764167845249176,165.4902,335.29413,0.9974687099456787,345.02502,375.9798,0.8305455446243286,138.53436,460.87766,0.5637050271034241,469.90457,306.20398,0.3067448139190674,174.66936,343.3972,0.9974687099456787,168.11093,352.81512,0.9974687099456787,480.0,381.92624,0.16810640692710876,190.63445,250.636,0.6486197113990784,465.53067,377.84424,0.4248933494091034,120.83664,232.10507,0.40736863017082214,480.0,306.4986,0.08063293248414993,214.43538,300.73508,0.9906372427940369,217.15707,386.9493,0.9048909544944763,195.63635,442.9597,0.842912495136261,173.66214,363.3769,0.9285134077072144
170.66896,320.26877,0.9746509194374084,342.90442,310.15558,0.7662294507026672,165.09804,335.29413,0.9974687099456787,343.7485,376.40942,0.8255091905593872,140.04767,463.32828,0.6083298921585083,465.82812,305.65344,0.42824798822402954,174.53006,343.37598,0.9974687099456787,167.94336,352.61682,0.9974687099456787,480.0,384.3169,0.20873627066612244,189.37703,248.18507,0.6055516600608826,463.3253,378.51187,0.47482189536094666,126.89122,225.12439,0.5024563074111938,480.0,304.9962,0.1338285207748413,214.8332,299.62286,0.9887702465057373,217.45903,386.7682,0.9062476754188538,196.22331,443.786,0.8247653245925903,174.17531,362.3823,0.9245361089706421
462.38657,464.75244,0.034312501549720764,480.0,386.15668,0.012226910330355167,458.08084,466.60547,0.3691607415676117,480.0,494.91373,0.01660449616611004,480.0,477.71423,0.02633703500032425,466.77118,306.88156,0.37867939472198486,464.39343,467.76263,0.8144325613975525,459.27893,474.5518,0.9142029285430908,480.0,599.82294,0.003630757797509432,480.0,451.14404,0.008603159338235855,478.23328,556.3421,0.0033527391497045755,480.0,468.05072,0.012297351844608784,480.0,305.54602,0.16630367934703827,480.0,476.07843,0.1506333351135254,480.0,504.4663,0.279556542634964,480.0,504.6628,0.02309124916791916,463.6505,487.4793,0.8331407904624939
170.40553,318.23785,0.9853882193565369,342.3745,309.20715,0.7916161417961121,166.7451,334.0392,0.9974687099456787,342.1021,373.60043,0.8577382564544678,148.73286,476.3924,0.6514206528663635,464.81412,305.0118,0.5040179491043091,175.26665,341.8471,0.9974687099456787,168.36475,350.67447,0.9974687099456787,480.0,381.12027,0.07972357422113419,191.6188,245.19405,0.6792933940887451,464.1548,376.98187,0.5832939147949219,140.05122,210.70215,0.4187797009944916,480.0,305.99176,0.13214106857776642,214.19456,296.4215,0.9919354915618896,216.42012,382.61444,0.9060356616973877,201.4447,440.3376,0.8111953139305115,173.05719,360.84802,0.9283661842346191
169.88602,317.4262,0.9861899614334106,341.6997,308.19006,0.8085070252418518,165.17647,333.2549,0.9974687099456787,341.10913,373.8101,0.8434315323829651,150.69388,483.47577,0.5440912842750549,462.61197,305.1677,0.4983084499835968,174.04315,341.25543,0.9974687099456787,167.25745,349.86694,0.9974687099456787,480.0,379.02438,0.10640716552734375,191.88841,244.54233,0.6737373471260071,463.7468,376.6143,0.5893323421478271,142.09409,203.59201,0.45816805958747864,480.0,305.49448,0.14475557208061218,214.05751,295.59958,0.9923480749130249,215.72615,383.2258,0.9036770462989807,202.4935,438.9642,0.7978760004043579,173.03482,360.18622,0.9265998005867004
462.0064,464.20285,0.02983272448182106,480.0,475.6391,0.012571836821734905,458.19852,466.47488,0.3501429259777069,480.0,498.58374,0.015285640954971313,480.0,478.17133,0.022768665105104446,480.0,474.7969,0.006275844294577837,462.11765,467.92157,0.8085832595825195,459.22485,474.55234,0.9080850481987,480.0,590.638,0.0049440315924584866,480.0,447.37268,0.006356507074087858,475.78934,555.61786,0.0037023918703198433,480.0,459.4147,0.007790271192789078,480.0,471.1868,0.0024152614641934633,480.0,457.09796,0.10917503386735916,480.0,503.91815,0.2761775255203247,480.0,504.8718,0.020255135372281075,463.6417,487.48334,0.8294551372528076
