right knee latitude,right knee longitude,right knee accuracy score,nose latitude,nose longitude,nose accuracy score,right ear latitude,right ear longitude,right ear accuracy score,right elbow latitude,right elbow longitude,right elbow accuracy score,right ankle latitude,right ankle longitude,right ankle accuracy score,right eye latitude,right eye longitude,right eye accuracy score,left shoulder latitude,left shoulder longitude,left shoulder accuracy score,left eye latitude,left eye longitude,left eye accuracy score,right shoulder latitude,right shoulder longitude,right shoulder accuracy score,left ear latitude,left ear longitude,left ear accuracy score,left wrist latitude,left wrist longitude,left wrist accuracy score,left elbow latitude,left elbow longitude,left elbow accuracy score,left ankle latitude,left ankle longitude,left ankle accuracy score,right wrist latitude,right wrist longitude,right wrist accuracy score,right hip latitude,right hip longitude,right hip accuracy score,left hip latitude,left hip longitude,left hip accuracy score,left knee latitude,left knee longitude,left knee accuracy score
480.0,486.769,0.006057209335267544,462.97733,468.87833,0.844497799873352,460.35962,463.42712,0.07997254282236099,480.0,455.3987,0.02684095688164234,480.0,480.93045,0.0032909782603383064,458.00235,467.30896,0.5458683371543884,480.0,502.32788,0.46502822637557983,459.15326,474.80792,0.9049057960510254,478.5098,475.29413,0.20262467861175537,462.00076,485.88156,0.7975318431854248,480.0,484.1683,0.04858635365962982,480.0,507.35452,0.046762388199567795,480.0,552.82605,0.004864849615842104,480.0,473.8517,0.028294377028942108,480.0,474.73657,0.018018921837210655,480.0,536.87805,0.016067201271653175,479.40744,550.7943,0.004019220359623432
480.0,476.75836,0.008628493174910545,463.27814,468.8506,0.7906264662742615,461.02176,463.07806,0.06836488097906113,480.0,455.05212,0.017666015774011612,480.0,472.87234,0.0024152614641934633,458.36407,467.15027,0.4749166667461395,480.0,500.83618,0.355911523103714,458.9598,474.7148,0.8655728101730347,479.29413,472.549,0.14883871376514435,462.69006,485.6709,0.7414221167564392,480.0,482.9279,0.0455286018550396,480.0,507.8966,0.041215214878320694,480.0,602.0134,0.002828824333846569,480.0,472.76218,0.021115493029356003,480.0,475.74622,0.013415349647402763,480.0,568.9775,0.003675642190501094,480.0,582.9831,0.0026215207763016224
480.0,479.61212,0.01021296251565218,463.01572,469.4695,0.7389138340950012,461.16275,463.0901,0.0884656235575676,480.0,455.51,0.022269852459430695,480.0,451.23077,0.0024152614641934633,458.48413,467.59064,0.5092282295227051,480.0,498.70486,0.3880891799926758,459.2575,475.13818,0.8177472949028015,478.90195,473.33334,0.1667601764202118,462.9836,485.605,0.6738906502723694,480.0,481.08627,0.0601179264485836,480.0,506.69116,0.04344755411148071,480.0,619.65594,0.002769263694062829,480.0,472.76318,0.0271250419318676,480.0,474.79172,0.01695369929075241,480.0,587.6002,0.0024152614641934633,465.01324,621.93427,0.0024152614641934633
480.0,471.48398,0.00888039916753769,463.2912,469.64478,0.8385721445083618,460.80823,463.38257,0.10659028589725494,480.0,453.28644,0.018233250826597214,480.0,479.61267,0.0024152614641934633,458.39856,467.68423,0.617976725101471,480.0,499.59036,0.3856181800365448,459.3714,475.74686,0.8933672904968262,478.90195,470.9804,0.1568378210067749,463.4169,485.78467,0.7375432848930359,480.0,482.92258,0.05647599324584007,480.0,509.4649,0.03363676369190216,477.76068,640.0,0.0024152614641934633,480.0,472.79877,0.02552112191915512,480.0,482.48785,0.015039457008242607,478.99594,585.2125,0.0024152614641934633,480.0,591.4738,0.0026448119897395372
480.0,473.54184,0.007854023948311806,463.41693,469.1784,0.7481797933578491,461.0447,463.40564,0.06161082163453102,480.0,456.79898,0.01963440515100956,480.0,476.9334,0.0024152626283466816,458.46036,467.41132,0.441953182220459,480.0,499.33502,0.38865816593170166,459.3072,474.69235,0.8479231595993042,478.5098,472.549,0.14964790642261505,462.83838,485.50848,0.7339634895324707,480.0,481.309,0.0500333197414875,480.0,509.25784,0.030684614554047585,480.0,635.33093,0.00273213442414999,480.0,473.33252,0.02308707870543003,480.0,476.6559,0.014628812670707703,480.0,588.0196,0.002501955023035407,467.30157,622.2677,0.0024644697550684214
452.42206,277.75095,0.7668176889419556,168.02875,317.27063,0.9974687099456787,165.00433,297.02225,0.9170201420783997,301.87067,274.61435,0.9298226833343506,480.0,282.9294,0.015492814593017101,157.57979,308.9524,0.9971715807914734,225.22012,360.5305,0.9861949682235718,160.58487,328.6543,0.9974687099456787,230.59274,293.3169,0.9831653833389282,170.58014,341.29382,0.9781991243362427,374.76407,367.3514,0.9579821228981018,312.54834,377.02646,0.8672677874565125,480.0,355.999,0.05128863453865051,362.36972,263.71454,0.9664223790168762,343.1968,280.52386,0.7599950432777405,364.86273,343.05884,0.9406983852386475,480.0,351.79276,0.7089852094650269
480.0,480.3291,0.009557710960507393,463.44473,469.47418,0.7724985480308533,461.50375,463.381,0.07893706858158112,480.0,453.41904,0.015250733122229576,480.0,473.3429,0.0024152614641934633,458.9315,467.62302,0.5123380422592163,480.0,499.96075,0.4128372371196747,459.57684,474.75327,0.8658571839332581,477.7255,472.549,0.17752178013324738,462.70508,485.60638,0.7289929389953613,480.0,480.07452,0.06100836396217346,480.0,510.6331,0.038503892719745636,480.0,551.30536,0.0026746997609734535,480.0,471.89963,0.023633114993572235,480.0,475.4715,0.014194168150424957,480.0,571.1452,0.002990416716784239,480.0,577.98193,0.002472098683938384
480.0,484.79987,0.006677310448139906,463.2831,469.17157,0.810825765132904,461.37024,463.08597,0.0852355808019638,480.0,455.27786,0.021189380437135696,480.0,478.31973,0.002626964822411537,458.72495,467.2887,0.5298891663551331,480.0,500.94528,0.417344331741333,459.48132,474.70996,0.8822329640388489,478.11765,473.33334,0.20127961039543152,462.58606,485.4399,0.7638178467750549,480.0,482.1849,0.052864205092191696,480.0,511.24576,0.03139791265130043,480.0,602.2679,0.0024152614641934633,480.0,473.13364,0.026159096509218216,480.0,474.76575,0.016930222511291504,480.0,552.64,0.004617941565811634,480.0,586.22736,0.0024152614641934633
480.0,485.6985,0.006965071428567171,463.7029,468.86035,0.8434167504310608,461.37552,463.36203,0.07186440378427505,480.0,453.67487,0.023677442222833633,480.0,481.10922,0.003278926946222782,458.78836,467.26865,0.5446255207061768,480.0,500.7624,0.4720152020454407,459.48087,474.75497,0.9132763147354126,478.5098,475.29413,0.20048895478248596,462.0482,485.60202,0.8085516095161438,480.0,482.37933,0.06254971772432327,480.0,507.84012,0.05115053802728653,480.0,640.0,0.0024152614641934633,480.0,473.26822,0.028838269412517548,480.0,475.49524,0.017777634784579277,480.0,566.07227,0.0032316120341420174,480.0,590.17236,0.002736106514930725
480.0,488.1582,0.005927732679992914,463.3974,468.72495,0.8407455682754517,461.07605,463.39014,0.07875118404626846,480.0,454.05316,0.019774669781327248,480.0,494.15482,0.002508545760065317,458.39154,467.27258,0.5532984137535095,480.0,502.47476,0.4318074584007263,459.43253,475.16965,0.9181901216506958,478.90195,475.29413,0.19249875843524933,462.53622,486.5006,0.7898416519165039,480.0,482.4519,0.05184411630034447,480.0,508.87738,0.034644417464733124,480.0,544.3309,0.0040034521371126175,480.0,472.65115,0.023924920707941055,480.0,474.38727,0.016774768009781837,480.0,517.95044,0.016611723229289055,480.0,520.92615,0.0024152614641934633
